产科	Obstetrics
鲜肉水产	Meat, Poultry & Seafood
口腔正畸科	Orthodontics
三轮车接待站	Tricycle Tour
冰箱	Refrigerator
预检筛查室	Pretest & Screening Lab
语言文字	Languages
黄金三角区	Golden Delta
停车场收费处	Parking Booth
货物受理处	Cargo Service
采供血机构	Blood Collection & Supply Services
观众通道	Spectator Passage
标识牌	Signboard
香皂	Soap
体外治疗室	Extracorporeal Therapy
运动区域	Sports Zone
瀑布	Waterfall
温泉浴	Hot Spring Bath
母婴等候室	Mother and Child Waiting Room
西餐厅	Western Restaurant
眼超声检查室	Ultrasonography
第三人	Third Party
失物招领	Lost & Found
绝经相关疾病分诊治疗室	Post Menopausal Diseases Reception & Treatment
旅客止步	Staff Only
本航班往……	This Cruise Is Bound for…
温馨提示	Kind Reminder
上午十点	10:00 AM/am
卫生巾	Sanitary Pads
1	号泊位 Berth No.1
温室采摘	Greenhouse Fruit Picking
心脏加强病房	Cardiac ICU
咖啡馆/咖啡厅	Café
送风机房	Air Ventilation Room
院感科	Hospital Infection-Control
禁止抛物	No Littering
文明观赛	不喝倒彩 Please Have Good Manners When Watching Games
智慧导览	Smart Guide
应急疏散通道/紧急通道	Emergency Exit
儿科日间病房	Pediatric Day Ward
地下停车场收费处	Basement Parking Fare Collection
综合业务厅	Comprehensive Services Hall
胃肠电图室	Electrogastrogram (EGG)
注意有电	Warning: Electrical Shock!
鲜奶	Milk
蜂蜜	Honey
夜间	Night
互联网创新集聚区	Internet Innovation Cluster Area
窗沿禁止放置物品	Please Do Not Leave Things on Windowsill
肝移植诊室	Liver Transplant Consultation
军事	Military Science
足金精品	24K Gold Gifts
瓷器	Porcelain
a	型血液告急 Group A Blood Donors Needed
b	超 B-Scan Ultrasound
癫痫门诊	Epilepsy Clinic
排行榜	Rankings
裁判员室	Referees Room
宿舍楼	Dormitory
爱国主义教育基地	Base for Raising Patriotism Awareness
广东省汽车客运站	Guangdong Provincial Intercity Bus Terminal
甲型肝炎门诊	Hepatitis A Clinic
o	型血液告急 Group O Blood Donors Needed
the	Forest, Handle Fire Emergencies According to Law
腹部超声室	Abdominal Ultrasonography
导管室	Catheter
x	线诊断室 X-Ray Diagnosis
儿科	Pediatrics
招商中心	Business Promotion/Office Rental Center
货梯	Cargo Lift
广东财政厅旧址	Former Site of Department of Finance of Guangdong Province
消毒柜	Kitchen Sterilizer
中式快餐	Chinese Fast Food
献血办公室	Blood Donation Clinic
保健门诊	Healthcare Clinic
综合内科	General Medicine
羊绒	Cashmere
皮具	Leatherware
机场巴士	Shuttle Bus
幽谷二段	Valley Segment II
法规督察科	Regulatory Supervision Section
手机充电处	Cell Phone Recharge
现场抢救组	First Aid Team
儿童保健科/儿童保健管理科	Child Healthcare
书房	Study Room
玉兰大道	Magnolia Avenue
城郊购物中心	Suburban Shopping Center
精神科	Psychiatry
美容美发中心（厅）/美容沙龙	Beauty Salon
曲奇	Cookies
国际金融中心	International Finance Center
千足金耳钉	99.9% Gold Ear Studs
门诊楼	Outpatient Building
友好亭	Friendship Pavilion
散场通道	EXIT
超声心动图室	Echocardiogram
神经遗传病门诊	Neurogenetics Clinic
第七仲裁庭	The 7th Court of Arbitration
揽胜探险	Expedition
遗传诊断中心	Genetic Diagnosis Center
经理办公室	Manager
女诊室	Female Consultation Room
幽谷三段	Valley Segment III
走失儿童认领	Lost Child Claim
无购物通道	Exit Without Purchase
图像分析室	Image Analysis
